"","mean","median","min","max","std","skew","kurt","entropy"
"numberofcontrolpoints","3.5534971644612474","0.0","0.0","13.0","5.794895771385465","1.0176999267204765","-0.9650171229177991","0.8462249766638431"
"multiplier_shieldpower","1.616257088846881","1.0","1.0","10.0","1.1913964373563402","4.6011460509979765","28.369009545498017","0.8350765248455431"
"startenergystorage","6089.22495274102","1500.0","1000.0","20000.0","6401.557077959439","1.019687225936719","-0.12399969223442042","0.8145644534422025"
"startmetalstorage","6073.345935727788","2000.0","1000.0","20000.0","6414.566290803948","1.0342212397766717","-0.09985782113079367","0.8144490683296765"
"disablemapdamage","0.2510396975425331","0.0","0.0","1.0","0.4336933009464625","1.148962615384781","-0.6803999606864544","0.8129218512129455"
"multiplier_builddistance","1.5375803402646504","1.0","1.0","10.0","1.322464535868539","5.018758778786994","28.032551680627442","0.7937906537318639"
"raptor_queentimemult","1.1829111531190928","1.0","0.1","3.0","0.325183285988071","1.8782782072574964","10.307603882641994","0.7882115770894567"
"raptor_firstwavesboost","2.525028355387524","1.0","1.0","10.0","2.332278849202259","1.379325951765459","0.7185951202987622","0.7504469036312623"
"commanderbuildersrange","1142.3818525519848","1000.0","500.0","2000.0","332.3482638823978","2.058816704200153","2.4568975873493706","0.626248144446166"
"multiplier_resourceincome","2.18241965973535","1.0","0.1","1000.0","27.4993942479989","36.16501214962969","1311.2110673651002","0.6033902134158247"
"raptor_spawntimemult","0.9973534971644612","1.0","0.1","3.0","0.3117841116128556","2.706658834828397","17.021533010260292","0.5891572160589534"
"raptor_graceperiodmult","1.7633270321361059","1.0","0.1","5.0","1.1642855266160426","0.9876947241628549","0.641470072069517","0.5833381472163208"
"ranked_game","0.867296786389414","1.0","0.0","1.0","0.3393178459994747","-2.166551096702838","2.6959816326763058","0.5648054243521619"
"multiplier_buildpower","1.3435160680529301","1.0","1.0","10.0","1.384239866417228","5.430329807684144","30.168606449519963","0.5423701021044864"
"multiplier_energyconversion","1.097013232514178","1.0","1.0","2.0","0.28032184100593266","2.7686917128901616","5.928849512130698","0.5266982182156177"
"experimentalreversegear","0.11493383742911154","0.0","0.0","1.0","0.3190023886853679","2.4160166939734986","3.84003971613289","0.5146208364803779"
"assistdronesbuildpowermultiplier","1.2688090737240076","1.0","1.0","5.0","0.8149224619432598","3.3652017051853598","11.070711672611544","0.5041077222691774"
"multiplier_energyproduction","1.370850661625709","1.0","1.0","10.0","1.6086945339731693","4.930735461495446","23.249961170660285","0.4747095827739691"
"multiplier_metalextraction","1.3618903591682419","1.0","0.1","10.0","1.5568596135668695","4.9435947037930825","23.76263276936197","0.4516752538616219"
"multiplier_losrange","1.1435538752362948","1.0","1.0","10.0","0.7757975237597123","9.422420938032618","101.14573323673527","0.4388185988728717"
